Abbott Laboratories	ABT
Accolade Inc	ACCD
Arch Capital Group Ltd	ACGL
AECOM	AECOM
Adobe Inc	ADBE
Autodesk	ADSK
Aegon Ltd	AEG
Agenus Inc	AGEN
Alkami Technology Inc	 ALKT
Altair Engineering Inc	ALTR
Applied Materials Inc	 AMAT
Auddia Inc	AUUD
Avista Corporation	AVA
American Vanguard Corporation	AVD
Broadcom Inc	AVGO
Avinger Inc	AVGR
Avient Corporation	AVNT
Aerovate Therapeutics Inc	 AVTE
Axos Financial Inc	 AX
American Express Company	AXP
Barnes Group Inc.	B
The Boeing Company	BA
Alibaba Group Holding Limited	BABA
Bank of America Corporation	BAC
Berenson Acquisition Corp	BACA
IMAC Holdings Inc	 BACK
Bridger Aerospace Group Holdings Inc	 BAER
BayFirst Financial Corp	BAFN
Booz Allen Hamilton Holding Corporation	BAH
Braskem S.A.	BAK
Ball Corporation	BALL
Bally's Corporation	BALY
Brookfield Asset Management Ltd	BAM
Banc of California Inc	BANC
Bandwidth Inc 	BAND
BancFirst Corporation	BANF
CBL International Limited	BANL
Banner Corporation	BANR
ArrowMark Financial Corp	 BANX
Baosheng Media Group Holdings Limited 	BAOS
Credicorp Ltd	BAP
BARK Inc	 BARK
BlackRock Inc	 BLK
Dutch Bros Inc	BROS
Berry Corporation	BRY
Citigroup Inc	C
Cable One Inc	CABO
Cadence Bank	CADE
Candel Therapeutics Inc	 CADL
CAE Inc	CAE
Cardinal Health Inc	 CAH
Caleres Inc	CAL
Captivision Inc	CAPT
Carisma Therapeutics Inc	 CARM
Cars.com Inc	CARS
Carver Bancorp Inc	CARV
Caterpillar Inc	CAT
CAVA Group Inc	 CAVA
CB Financial Services Inc	CBFV
CBRE Group Inc	CBRE
Cibus Inc	CBUS
CBIZ Inc	CBZ
The Chemours Company	CC
Capital City Bank Group Inc	CCBG
C4 Therapeutics Inc	CCCC
Dominion Energy Inc	D
Danaos Corporation	DAC
Data I/O Corporation	DAIO
DatChat Inc	DATS
Dave Inc	DAVE
Day One Biopharmaceuticals Inc	DAWN
Dayforce Inc	DAY
Deutsche Bank Aktiengesellschaft	DB
DocGo Inc	DCGO
Dime Community Bancshares Inc	DCOM
Delcath Systems Inc	DCTH
DHI Group	DHX
Dine Brands Global Inc	DIN
Delek US Holdings Inc	DK
